request_type,department,officer_workload,queue_size,priority,medical_urgency,legal_urgency,citizen_category,escalation_count,base_days,sla_limit_days,processing_days,delayed,sla_breached,officer_id,is_anomaly,anomaly_type
General Service Request,Revenue,20,150,Low,0,0,ST,2,6.0,10.0,50.15,1,1,109,0,None
Land Approval,Land,16,151,High,1,0,General,0,30.0,45.0,73.07,1,1,102,0,None
Residence Certificate,Revenue,26,146,Low,0,0,General,0,4.0,7.0,19.45,1,1,113,0,None
Caste Certificate,Revenue,40,232,Low,0,0,General,0,7.0,10.0,48.52,1,1,113,0,None
Scholarship Request,Social Welfare,15,129,Medium,0,0,General,0,12.0,15.0,33.64,1,1,114,0,None
Business License,Commercial,18,137,High,0,0,General,0,20.0,25.0,46.45,1,1,108,0,None
General Service Request,Revenue,35,294,Medium,0,0,General,0,6.0,10.0,33.88,1,1,107,0,None
Land Approval,Land,20,120,Low,0,0,General,0,30.0,45.0,127.73,1,1,105,0,None
Pension Request,Social Welfare,21,128,Medium,0,0,SC,0,18.0,21.0,60.55,1,1,101,0,None
Scholarship Request,Social Welfare,15,126,Medium,0,0,OBC,0,12.0,15.0,36.75,1,1,111,0,None
Income Certificate,Revenue,15,142,High,1,0,General,0,5.0,7.0,11.58,1,1,111,0,None
Caste Certificate,Revenue,22,189,Medium,0,0,OBC,1,7.0,10.0,37.17,1,1,114,0,None
Complaint Registration,Complaints,13,76,Medium,0,0,SC,0,15.0,20.0,35.71,1,1,110,0,None
Pension Request,Social Welfare,11,99,Medium,0,0,Senior Citizen,0,18.0,21.0,44.3,1,1,106,0,None
Complaint Registration,Complaints,14,114,Critical,0,0,General,0,15.0,20.0,12.22,0,0,111,0,None
Scholarship Request,Social Welfare,11,89,Low,0,0,General,0,12.0,15.0,36.18,1,1,114,0,None
Land Approval,Land,22,137,Critical,0,1,General,1,30.0,45.0,63.28,1,1,106,0,None
Complaint Registration,Complaints,13,84,Medium,0,0,General,0,15.0,20.0,38.22,1,1,113,0,None
Land Approval,Land,24,125,Low,0,0,General,0,30.0,45.0,129.36,1,1,106,0,None
Pension Request,Social Welfare,15,76,Low,0,0,OBC,0,18.0,21.0,54.36,1,1,106,1,high_rejections
Income Certificate,Revenue,29,188,High,0,0,ST,1,5.0,7.0,20.32,1,1,101,0,None
General Service Request,Revenue,13,123,Medium,0,0,General,0,6.0,10.0,17.27,1,1,101,0,None
Caste Certificate,Revenue,19,182,Low,0,0,ST,0,7.0,10.0,34.46,1,1,110,0,None
Income Certificate,Revenue,37,252,Medium,0,0,Senior Citizen,0,5.0,7.0,25.22,1,1,110,0,None
Pension Request,Social Welfare,45,218,High,0,0,Senior Citizen,0,18.0,21.0,66.5,1,1,107,0,None
Land Approval,Land,12,89,Low,0,0,SC,0,30.0,45.0,89.6,1,1,107,0,None
Complaint Registration,Complaints,14,119,Medium,0,0,General,0,15.0,20.0,40.65,1,1,102,0,None
Caste Certificate,Revenue,22,167,Low,0,0,OBC,0,7.0,10.0,34.61,1,1,108,0,None
Land Approval,Land,18,159,Low,0,0,OBC,0,30.0,45.0,131.9,1,1,111,0,None
Land Approval,Land,12,112,Medium,0,0,Senior Citizen,0,30.0,45.0,85.89,1,1,102,0,None
Complaint Registration,Complaints,11,95,Medium,0,0,General,0,15.0,20.0,34.44,1,1,106,0,None
Complaint Registration,Complaints,15,90,Medium,0,0,General,1,15.0,20.0,53.51,1,1,102,0,None
Business License,Commercial,21,139,Medium,0,0,ST,0,20.0,25.0,67.3,1,1,111,0,None
Scholarship Request,Social Welfare,15,128,Critical,0,0,General,1,12.0,15.0,23.47,1,1,111,0,None
General Service Request,Revenue,19,93,High,1,0,General,1,6.0,10.0,17.69,1,1,102,0,None
Pension Request,Social Welfare,31,222,Medium,0,0,OBC,2,18.0,21.0,156.78,1,1,111,0,None
Complaint Registration,Complaints,18,76,High,0,0,General,0,15.0,20.0,27.71,1,1,110,0,None
Complaint Registration,Complaints,17,142,Medium,0,0,General,0,15.0,20.0,47.72,1,1,112,0,None
Income Certificate,Revenue,11,67,Medium,0,0,General,0,5.0,7.0,11.03,1,1,102,0,None
Complaint Registration,Complaints,21,94,Medium,0,0,OBC,0,15.0,20.0,47.18,1,1,106,0,None
Caste Certificate,Revenue,15,130,High,0,0,OBC,0,7.0,10.0,15.61,1,1,113,0,None
Complaint Registration,Complaints,16,129,Low,0,0,SC,2,15.0,20.0,109.16,1,1,108,1,high_rejections
Pension Request,Social Welfare,17,94,Critical,1,0,SC,0,18.0,21.0,21.57,0,1,104,0,None
Business License,Commercial,17,98,High,0,1,General,0,20.0,25.0,37.15,1,1,106,0,None
Land Approval,Land,14,66,Medium,0,0,General,1,30.0,45.0,96.32,1,1,114,0,None
Residence Certificate,Revenue,22,216,Medium,0,0,General,0,4.0,7.0,17.21,1,1,112,0,None
Pension Request,Social Welfare,29,135,Medium,0,0,SC,2,18.0,21.0,119.72,1,1,103,0,None
Business License,Commercial,11,80,Medium,0,0,General,0,20.0,25.0,46.16,1,1,102,0,None
Complaint Registration,Complaints,12,67,Medium,0,0,General,0,15.0,20.0,30.03,1,1,112,0,None
Income Certificate,Revenue,32,279,Critical,0,1,OBC,0,5.0,7.0,10.13,1,1,109,0,None
General Service Request,Revenue,12,89,Critical,0,1,General,1,6.0,10.0,9.78,1,0,106,0,None
Caste Certificate,Revenue,21,143,Medium,0,0,General,0,7.0,10.0,24.09,1,1,110,0,None
General Service Request,Revenue,30,169,Medium,0,0,General,1,6.0,10.0,33.49,1,1,111,0,None
General Service Request,Revenue,13,98,Low,0,0,General,0,6.0,10.0,21.39,1,1,110,0,None
General Service Request,Revenue,23,114,Low,0,0,OBC,0,6.0,10.0,25.17,1,1,106,0,None
Scholarship Request,Social Welfare,16,104,Low,0,0,OBC,0,12.0,15.0,46.64,1,1,103,0,None
General Service Request,Revenue,21,141,High,0,0,OBC,0,6.0,10.0,13.12,1,1,112,0,None
Income Certificate,Revenue,17,101,Medium,0,0,General,0,5.0,7.0,14.14,1,1,114,0,None
Caste Certificate,Revenue,17,103,Medium,0,0,General,0,7.0,10.0,19.4,1,1,105,0,None
Land Approval,Land,35,195,Low,0,0,OBC,0,30.0,45.0,189.55,1,1,102,0,None
Residence Certificate,Revenue,16,77,Low,0,0,ST,0,4.0,7.0,12.59,1,1,105,0,None
General Service Request,Revenue,26,151,Medium,0,0,SC,0,6.0,10.0,22.68,1,1,108,0,None
Business License,Commercial,18,145,Medium,0,0,Differently Abled,0,20.0,25.0,70.64,1,1,114,0,None
General Service Request,Revenue,22,169,Low,0,0,General,0,6.0,10.0,30.63,1,1,104,0,None
Caste Certificate,Revenue,15,72,Medium,0,0,General,0,7.0,10.0,16.04,1,1,112,0,None
Residence Certificate,Revenue,14,112,Medium,0,0,OBC,2,4.0,7.0,19.12,1,1,102,0,None
Pension Request,Social Welfare,20,102,Low,0,0,ST,0,18.0,21.0,67.0,1,1,101,0,None
Complaint Registration,Complaints,14,153,Low,0,0,General,0,15.0,20.0,65.96,1,1,107,0,None
Caste Certificate,Revenue,13,145,Medium,0,0,General,2,7.0,10.0,38.68,1,1,113,0,None
Income Certificate,Revenue,31,175,Critical,0,1,Senior Citizen,0,5.0,7.0,8.37,1,1,103,0,None
Caste Certificate,Revenue,12,86,Critical,0,1,General,2,7.0,10.0,12.61,1,1,106,0,None
General Service Request,Revenue,17,152,High,1,0,SC,1,6.0,10.0,18.8,1,1,107,0,None
Land Approval,Land,23,200,Medium,0,0,OBC,0,30.0,45.0,121.49,1,1,108,0,None
Pension Request,Social Welfare,28,190,Medium,0,0,ST,0,18.0,21.0,79.52,1,1,108,0,None
Scholarship Request,Social Welfare,20,185,Medium,0,0,General,0,12.0,15.0,48.2,1,1,105,0,None
Land Approval,Land,24,195,Medium,0,0,General,0,30.0,45.0,134.0,1,1,108,0,None
Pension Request,Social Welfare,15,114,Low,0,0,OBC,0,18.0,21.0,65.75,1,1,112,0,None
Pension Request,Social Welfare,34,309,High,0,0,OBC,1,18.0,21.0,101.57,1,1,112,0,None
Land Approval,Land,16,138,Medium,0,0,SC,0,30.0,45.0,87.59,1,1,104,0,None
General Service Request,Revenue,12,127,Medium,0,0,OBC,0,6.0,10.0,18.52,1,1,110,0,None
Land Approval,Land,26,173,High,0,0,General,0,30.0,45.0,89.87,1,1,102,0,None
General Service Request,Revenue,33,251,Low,0,0,ST,0,6.0,10.0,40.76,1,1,112,0,None
Residence Certificate,Revenue,10,100,Low,0,0,OBC,1,4.0,7.0,18.13,1,1,114,0,None
Scholarship Request,Social Welfare,15,120,Low,0,0,General,0,12.0,15.0,48.87,1,1,101,0,None
Residence Certificate,Revenue,16,102,Low,0,0,General,0,4.0,7.0,14.22,1,1,102,0,None
Complaint Registration,Complaints,17,122,Low,0,0,General,0,15.0,20.0,58.27,1,1,113,0,None
Caste Certificate,Revenue,13,140,Low,0,0,Senior Citizen,0,7.0,10.0,27.17,1,1,102,0,None
Caste Certificate,Revenue,20,161,Medium,0,0,General,0,7.0,10.0,26.44,1,1,110,0,None
Income Certificate,Revenue,20,94,Low,0,0,SC,1,5.0,7.0,27.34,1,1,101,0,None
Business License,Commercial,17,69,High,0,0,SC,0,20.0,25.0,40.37,1,1,104,0,None
Income Certificate,Revenue,23,172,Low,0,0,General,0,5.0,7.0,25.45,1,1,114,0,None
General Service Request,Revenue,26,186,Low,0,0,General,1,6.0,10.0,44.78,1,1,102,0,None
Residence Certificate,Revenue,3,60,Low,0,0,OBC,0,4.0,7.0,9.19,1,1,106,0,None
Land Approval,Land,15,100,Low,0,0,OBC,1,30.0,45.0,152.6,1,1,110,0,None
Caste Certificate,Revenue,28,231,Critical,0,1,OBC,0,7.0,10.0,13.11,1,1,114,0,None
Business License,Commercial,33,166,Low,0,0,General,1,20.0,25.0,155.16,1,1,109,1,high_rejections
General Service Request,Revenue,38,210,Medium,0,0,ST,0,6.0,10.0,29.87,1,1,110,0,None
General Service Request,Revenue,20,169,Low,0,0,General,2,6.0,10.0,51.42,1,1,113,0,None
Residence Certificate,Revenue,9,92,Low,0,0,SC,0,4.0,7.0,12.48,1,1,109,0,None
Scholarship Request,Social Welfare,33,139,Low,0,0,Senior Citizen,0,12.0,15.0,63.94,1,1,105,0,None
Income Certificate,Revenue,15,78,Low,0,0,General,0,5.0,7.0,28.42,1,1,110,1,excessive_delay
Caste Certificate,Revenue,18,95,High,0,0,General,2,7.0,10.0,24.03,1,1,102,0,None
General Service Request,Revenue,18,81,Medium,0,0,General,0,6.0,10.0,15.47,1,1,108,0,None
Business License,Commercial,24,196,Medium,0,0,ST,0,20.0,25.0,85.54,1,1,110,0,None
Residence Certificate,Revenue,34,265,Medium,0,0,General,0,4.0,7.0,20.05,1,1,107,0,None
Scholarship Request,Social Welfare,12,121,Medium,0,0,General,0,12.0,15.0,31.99,1,1,114,0,None
Complaint Registration,Complaints,35,281,Low,0,0,Differently Abled,0,15.0,20.0,108.44,1,1,110,0,None
Complaint Registration,Complaints,8,83,Low,0,0,General,0,15.0,20.0,44.24,1,1,108,0,None
Income Certificate,Revenue,15,136,Medium,0,0,General,0,5.0,7.0,17.08,1,1,110,0,None
Scholarship Request,Social Welfare,8,91,High,0,0,General,0,12.0,15.0,16.35,1,1,105,0,None
Income Certificate,Revenue,10,98,Low,0,0,General,0,5.0,7.0,16.56,1,1,113,0,None
General Service Request,Revenue,26,133,Medium,0,0,General,0,6.0,10.0,22.75,1,1,103,0,None
Residence Certificate,Revenue,18,141,Medium,0,0,OBC,0,4.0,7.0,12.38,1,1,111,0,None
Income Certificate,Revenue,18,96,Low,0,0,OBC,0,5.0,7.0,18.26,1,1,106,0,None
Complaint Registration,Complaints,18,101,Critical,1,0,General,0,15.0,20.0,14.7,0,0,107,0,None
Land Approval,Land,37,161,High,0,0,OBC,0,30.0,45.0,97.31,1,1,107,0,None
Residence Certificate,Revenue,21,139,Medium,0,0,OBC,1,4.0,7.0,19.41,1,1,110,0,None
Income Certificate,Revenue,45,223,High,0,0,OBC,0,5.0,7.0,19.65,1,1,114,0,None
Scholarship Request,Social Welfare,12,112,Medium,0,0,General,0,12.0,15.0,28.69,1,1,113,0,None
Caste Certificate,Revenue,36,261,High,0,0,General,0,7.0,10.0,25.38,1,1,105,0,None
Scholarship Request,Social Welfare,18,156,Critical,0,1,General,0,12.0,15.0,17.1,1,1,107,0,None
Residence Certificate,Revenue,24,111,Medium,0,0,ST,0,4.0,7.0,13.36,1,1,101,0,None
Land Approval,Land,38,246,Medium,0,0,OBC,0,30.0,45.0,157.8,1,1,109,0,None
Caste Certificate,Revenue,11,101,Critical,0,0,General,0,7.0,10.0,7.08,0,0,107,0,None
Caste Certificate,Revenue,17,135,High,0,0,ST,2,7.0,10.0,0.5,0,0,110,1,fast_approval
Complaint Registration,Complaints,11,104,Medium,0,0,OBC,0,15.0,20.0,38.06,1,1,112,0,None
Complaint Registration,Complaints,18,103,High,0,0,General,0,15.0,20.0,0.5,0,0,113,1,fast_approval
Residence Certificate,Revenue,17,150,Medium,0,0,General,2,4.0,7.0,24.91,1,1,105,0,None
Scholarship Request,Social Welfare,33,200,Critical,0,0,ST,0,12.0,15.0,19.73,1,1,101,0,None
Income Certificate,Revenue,16,117,High,0,1,General,0,5.0,7.0,11.23,1,1,107,0,None
General Service Request,Revenue,10,87,Medium,0,0,OBC,2,6.0,10.0,24.93,1,1,105,0,None
Residence Certificate,Revenue,16,128,Medium,0,0,Senior Citizen,0,4.0,7.0,13.26,1,1,114,0,None
Complaint Registration,Complaints,28,156,Critical,1,0,General,0,15.0,20.0,22.78,1,1,104,0,None
Residence Certificate,Revenue,39,279,High,0,0,SC,0,4.0,7.0,16.28,1,1,112,0,None
General Service Request,Revenue,16,110,Medium,0,0,Senior Citizen,0,6.0,10.0,17.67,1,1,111,0,None
Scholarship Request,Social Welfare,28,158,Medium,0,0,Senior Citizen,0,12.0,15.0,49.98,1,1,101,0,None
Income Certificate,Revenue,41,237,Medium,0,0,General,0,5.0,7.0,27.52,1,1,106,0,None
Pension Request,Social Welfare,12,92,Medium,0,0,General,0,18.0,21.0,49.99,1,1,113,0,None
General Service Request,Revenue,12,130,Medium,0,0,General,2,6.0,10.0,29.89,1,1,106,0,None
Caste Certificate,Revenue,12,85,High,0,0,General,1,7.0,10.0,16.92,1,1,101,0,None
Pension Request,Social Welfare,12,52,Low,0,0,ST,0,18.0,21.0,51.64,1,1,104,0,None
General Service Request,Revenue,18,115,Medium,0,0,ST,0,6.0,10.0,18.47,1,1,107,0,None
Pension Request,Social Welfare,17,91,High,1,0,ST,0,18.0,21.0,34.99,1,1,108,0,None
Land Approval,Land,17,121,High,0,0,General,0,30.0,45.0,66.48,1,1,102,0,None
Pension Request,Social Welfare,18,112,Low,0,0,General,0,18.0,21.0,69.62,1,1,102,0,None
Pension Request,Social Welfare,25,109,Medium,0,0,General,0,18.0,21.0,59.13,1,1,108,0,None
Business License,Commercial,21,185,Critical,1,0,SC,0,20.0,25.0,38.16,1,1,114,0,None
General Service Request,Revenue,14,116,Low,0,0,General,3,6.0,10.0,49.41,1,1,113,1,high_rejections
Complaint Registration,Complaints,23,102,Low,0,0,General,0,15.0,20.0,61.51,1,1,114,0,None
Income Certificate,Revenue,10,74,Medium,0,0,ST,0,5.0,7.0,11.54,1,1,111,0,None
Caste Certificate,Revenue,19,109,High,0,0,General,0,7.0,10.0,16.13,1,1,112,0,None
Pension Request,Social Welfare,21,104,High,0,0,General,0,18.0,21.0,35.1,1,1,102,0,None
Residence Certificate,Revenue,22,119,High,0,0,Differently Abled,1,4.0,7.0,13.51,1,1,102,0,None
Caste Certificate,Revenue,27,163,Medium,0,0,General,0,7.0,10.0,27.54,1,1,114,0,None
Scholarship Request,Social Welfare,12,82,Low,0,0,General,0,12.0,15.0,40.23,1,1,104,0,None
Income Certificate,Revenue,20,109,Low,0,0,ST,0,5.0,7.0,19.93,1,1,106,0,None
Business License,Commercial,14,118,Medium,0,0,OBC,0,20.0,25.0,58.72,1,1,106,0,None
Business License,Commercial,31,265,High,0,0,Differently Abled,0,20.0,25.0,72.49,1,1,109,0,None
General Service Request,Revenue,17,129,Medium,0,0,SC,0,6.0,10.0,20.17,1,1,106,0,None
Business License,Commercial,33,272,Medium,0,0,General,0,20.0,25.0,106.28,1,1,106,0,None
Land Approval,Land,16,113,Medium,0,0,OBC,2,30.0,45.0,165.94,1,1,103,0,None
Complaint Registration,Complaints,16,143,Critical,0,1,General,0,15.0,20.0,19.67,1,0,102,0,None
Scholarship Request,Social Welfare,26,189,Low,0,0,Senior Citizen,0,12.0,15.0,65.33,1,1,107,0,None
Land Approval,Land,16,118,Medium,0,0,OBC,0,30.0,45.0,91.84,1,1,105,0,None
Caste Certificate,Revenue,12,86,Low,0,0,General,0,7.0,10.0,21.57,1,1,110,0,None
Pension Request,Social Welfare,29,221,Critical,0,1,OBC,0,18.0,21.0,28.22,1,1,108,0,None
Scholarship Request,Social Welfare,18,107,Low,0,0,OBC,0,12.0,15.0,46.45,1,1,104,0,None
Business License,Commercial,17,148,Low,0,0,General,0,20.0,25.0,87.5,1,1,108,0,None
Land Approval,Land,12,117,Medium,0,0,SC,0,30.0,45.0,75.96,1,1,110,0,None
Income Certificate,Revenue,18,153,High,0,0,SC,0,5.0,7.0,10.62,1,1,108,0,None
Caste Certificate,Revenue,17,161,Low,0,0,General,1,7.0,10.0,46.02,1,1,111,0,None
Scholarship Request,Social Welfare,39,196,Critical,1,0,ST,0,12.0,15.0,24.7,1,1,102,0,None
Business License,Commercial,13,132,Medium,0,0,General,0,20.0,25.0,57.72,1,1,108,0,None
Business License,Commercial,30,141,Medium,0,0,ST,0,20.0,25.0,83.7,1,1,109,0,None
Business License,Commercial,16,109,High,1,0,OBC,1,20.0,25.0,86.21,1,1,103,1,excessive_delay
Scholarship Request,Social Welfare,34,169,Medium,0,0,OBC,0,12.0,15.0,53.28,1,1,112,0,None
Business License,Commercial,36,238,Medium,0,0,General,0,20.0,25.0,104.48,1,1,114,0,None
Pension Request,Social Welfare,18,125,Critical,0,0,General,0,18.0,21.0,17.5,0,0,109,0,None
General Service Request,Revenue,14,101,Medium,0,0,ST,0,6.0,10.0,16.61,1,1,109,0,None
Residence Certificate,Revenue,9,66,Low,0,0,General,2,4.0,7.0,19.83,1,1,102,0,None
Residence Certificate,Revenue,30,238,Critical,0,0,General,0,4.0,7.0,7.73,1,1,112,0,None
Pension Request,Social Welfare,30,215,Medium,0,0,Differently Abled,0,18.0,21.0,81.22,1,1,113,0,None
Scholarship Request,Social Welfare,37,217,Medium,0,0,ST,0,12.0,15.0,59.01,1,1,108,0,None
Complaint Registration,Complaints,21,121,Critical,0,1,Senior Citizen,0,15.0,20.0,23.71,1,1,107,0,None
Residence Certificate,Revenue,22,112,Medium,0,0,General,0,4.0,7.0,13.12,1,1,112,0,None
Pension Request,Social Welfare,18,163,High,0,0,General,0,18.0,21.0,50.06,1,1,101,0,None
Residence Certificate,Revenue,34,187,Medium,0,0,OBC,0,4.0,7.0,17.95,1,1,108,0,None
Scholarship Request,Social Welfare,13,104,High,0,1,OBC,0,12.0,15.0,21.79,1,1,104,0,None
Land Approval,Land,35,159,Low,0,0,OBC,0,30.0,45.0,158.81,1,1,101,0,None
Land Approval,Land,17,134,High,0,0,General,1,30.0,45.0,82.37,1,1,113,0,None
Scholarship Request,Social Welfare,22,134,Medium,0,0,Senior Citizen,0,12.0,15.0,42.5,1,1,107,0,None
Complaint Registration,Complaints,17,121,Medium,0,0,General,0,15.0,20.0,48.64,1,1,111,0,None
Income Certificate,Revenue,12,103,Medium,0,0,ST,0,5.0,7.0,13.15,1,1,102,0,None
Complaint Registration,Complaints,33,240,Low,0,0,Differently Abled,0,15.0,20.0,97.8,1,1,109,0,None
General Service Request,Revenue,16,94,Low,0,0,OBC,0,6.0,10.0,21.37,1,1,105,0,None
Caste Certificate,Revenue,11,112,Low,0,0,General,0,7.0,10.0,23.42,1,1,112,0,None
Income Certificate,Revenue,42,341,Medium,0,0,OBC,1,5.0,7.0,44.82,1,1,110,0,None
General Service Request,Revenue,20,170,Low,0,0,General,0,6.0,10.0,28.18,1,1,107,0,None
Land Approval,Land,33,200,High,0,0,General,2,30.0,45.0,169.21,1,1,110,0,None
Land Approval,Land,10,87,Low,0,0,General,0,30.0,45.0,91.37,1,1,105,0,None
Land Approval,Land,13,80,Low,0,0,OBC,0,30.0,45.0,89.45,1,1,111,0,None
General Service Request,Revenue,17,142,Critical,1,0,Senior Citizen,0,6.0,10.0,8.38,1,0,102,0,None
Income Certificate,Revenue,11,77,Medium,0,0,General,2,5.0,7.0,20.88,1,1,111,0,None
Pension Request,Social Welfare,11,61,Critical,0,1,Differently Abled,0,18.0,21.0,13.76,0,0,102,0,None
Income Certificate,Revenue,14,150,Medium,0,0,OBC,0,5.0,7.0,16.17,1,1,113,0,None
Complaint Registration,Complaints,45,315,Low,0,0,Senior Citizen,0,15.0,20.0,127.7,1,1,107,0,None
Income Certificate,Revenue,13,117,High,0,0,OBC,0,5.0,7.0,10.27,1,1,108,0,None
Complaint Registration,Complaints,14,84,Low,0,0,General,0,15.0,20.0,50.43,1,1,109,0,None
Caste Certificate,Revenue,14,136,Medium,0,0,General,0,7.0,10.0,19.36,1,1,112,0,None
Business License,Commercial,24,170,Low,0,0,General,0,20.0,25.0,98.3,1,1,104,1,high_rejections
Complaint Registration,Complaints,14,71,Critical,0,1,SC,0,15.0,20.0,14.71,0,0,112,0,None
Scholarship Request,Social Welfare,25,128,High,0,0,Senior Citizen,0,12.0,15.0,28.56,1,1,113,0,None
Pension Request,Social Welfare,22,102,Medium,0,0,General,0,18.0,21.0,58.22,1,1,108,0,None
Income Certificate,Revenue,11,113,Medium,0,0,General,0,5.0,7.0,12.71,1,1,101,0,None
General Service Request,Revenue,22,130,Medium,0,0,General,0,6.0,10.0,19.2,1,1,110,0,None
Income Certificate,Revenue,19,86,Critical,0,1,General,2,5.0,7.0,12.12,1,1,101,0,None
Complaint Registration,Complaints,12,111,Medium,0,0,General,1,15.0,20.0,61.92,1,1,107,0,None
Residence Certificate,Revenue,14,91,Medium,0,0,General,0,4.0,7.0,9.86,1,1,108,0,None
Complaint Registration,Complaints,48,418,High,0,0,OBC,0,15.0,20.0,81.84,1,1,108,0,None
Caste Certificate,Revenue,13,99,Low,0,0,General,0,7.0,10.0,22.93,1,1,109,0,None
Residence Certificate,Revenue,19,141,Medium,0,0,SC,0,4.0,7.0,13.81,1,1,101,0,None
Pension Request,Social Welfare,17,114,Medium,0,0,OBC,0,18.0,21.0,57.3,1,1,113,0,None
Income Certificate,Revenue,19,111,High,1,0,SC,0,5.0,7.0,10.2,1,1,112,0,None
Income Certificate,Revenue,16,72,Critical,0,0,General,0,5.0,7.0,5.36,0,0,114,0,None
Pension Request,Social Welfare,25,151,Low,0,0,OBC,0,18.0,21.0,89.59,1,1,104,0,None
Income Certificate,Revenue,25,202,High,0,0,OBC,0,5.0,7.0,14.78,1,1,103,0,None
Residence Certificate,Revenue,30,209,Medium,0,0,ST,1,4.0,7.0,26.97,1,1,103,0,None
Caste Certificate,Revenue,28,234,Medium,0,0,SC,0,7.0,10.0,30.24,1,1,108,0,None
Caste Certificate,Revenue,17,142,Medium,0,0,OBC,0,7.0,10.0,21.38,1,1,107,0,None
General Service Request,Revenue,11,104,Critical,0,1,SC,0,6.0,10.0,6.65,0,0,109,0,None
Income Certificate,Revenue,8,87,Low,0,0,General,1,5.0,7.0,20.27,1,1,108,0,None
Business License,Commercial,29,233,Low,0,0,General,0,20.0,25.0,125.62,1,1,110,0,None
Business License,Commercial,30,178,Critical,0,1,ST,0,20.0,25.0,33.43,1,1,109,0,None
Income Certificate,Revenue,22,105,Medium,0,0,OBC,0,5.0,7.0,14.47,1,1,110,0,None
Residence Certificate,Revenue,14,116,Critical,1,0,OBC,0,4.0,7.0,3.84,0,0,104,0,None
Caste Certificate,Revenue,19,162,Critical,0,0,General,0,7.0,10.0,8.91,1,0,110,0,None
Residence Certificate,Revenue,20,148,Low,0,0,OBC,0,4.0,7.0,17.78,1,1,102,0,None
Business License,Commercial,12,80,Medium,0,0,OBC,0,20.0,25.0,50.32,1,1,111,0,None
Land Approval,Land,30,248,Critical,0,1,OBC,0,30.0,45.0,56.57,1,1,104,0,None
Business License,Commercial,14,112,Critical,0,0,Senior Citizen,0,20.0,25.0,17.11,0,0,111,0,None
General Service Request,Revenue,15,107,High,0,0,General,2,6.0,10.0,22.35,1,1,101,0,None
Complaint Registration,Complaints,22,175,Medium,0,0,SC,0,15.0,20.0,56.29,1,1,104,0,None
Pension Request,Social Welfare,16,145,Medium,0,0,SC,0,18.0,21.0,59.56,1,1,111,0,None
Complaint Registration,Complaints,13,127,Medium,0,0,General,0,15.0,20.0,41.89,1,1,105,0,None
Income Certificate,Revenue,10,73,High,0,0,SC,0,5.0,7.0,6.96,1,0,104,0,None
General Service Request,Revenue,30,217,Medium,0,0,General,0,6.0,10.0,27.25,1,1,111,0,None
General Service Request,Revenue,22,167,Medium,0,0,General,0,6.0,10.0,22.43,1,1,109,0,None
General Service Request,Revenue,16,118,High,0,0,Senior Citizen,0,6.0,10.0,12.1,1,1,109,0,None
Income Certificate,Revenue,21,204,Critical,0,1,Differently Abled,0,5.0,7.0,9.13,1,1,108,0,None
Pension Request,Social Welfare,16,132,Critical,0,0,ST,0,18.0,21.0,21.51,0,1,111,0,None
Business License,Commercial,26,119,High,0,0,OBC,0,20.0,25.0,47.08,1,1,102,0,None
Caste Certificate,Revenue,37,272,Medium,0,0,General,0,7.0,10.0,38.69,1,1,103,0,None
Caste Certificate,Revenue,17,121,High,0,0,General,0,7.0,10.0,15.12,1,1,110,0,None
Pension Request,Social Welfare,22,129,Medium,0,0,OBC,0,18.0,21.0,60.45,1,1,110,0,None
Complaint Registration,Complaints,24,101,Medium,0,0,ST,0,15.0,20.0,44.99,1,1,110,0,None
Pension Request,Social Welfare,11,76,Medium,0,0,OBC,0,18.0,21.0,41.25,1,1,105,0,None
Complaint Registration,Complaints,24,123,Low,0,0,OBC,0,15.0,20.0,63.34,1,1,114,0,None
Income Certificate,Revenue,28,202,Low,0,0,ST,0,5.0,7.0,27.4,1,1,112,0,None
Caste Certificate,Revenue,17,105,Medium,0,0,Senior Citizen,0,7.0,10.0,20.81,1,1,101,0,None
Land Approval,Land,13,86,High,0,0,General,0,30.0,45.0,52.77,1,1,113,0,None
Residence Certificate,Revenue,26,125,High,0,0,OBC,1,4.0,7.0,13.22,1,1,110,0,None
Land Approval,Land,12,85,Critical,0,1,Differently Abled,0,30.0,45.0,37.52,1,0,106,0,None
Income Certificate,Revenue,26,119,Medium,0,0,General,0,5.0,7.0,17.13,1,1,104,0,None
Caste Certificate,Revenue,20,94,Medium,0,0,General,0,7.0,10.0,18.68,1,1,107,0,None
Scholarship Request,Social Welfare,17,135,Low,0,0,Senior Citizen,0,12.0,15.0,49.64,1,1,107,0,None
Caste Certificate,Revenue,29,128,High,0,1,General,2,7.0,10.0,31.72,1,1,108,0,None
Complaint Registration,Complaints,20,88,Critical,0,1,General,0,15.0,20.0,17.58,0,0,102,0,None
Scholarship Request,Social Welfare,30,274,Low,0,0,General,0,12.0,15.0,83.66,1,1,104,0,None
Scholarship Request,Social Welfare,39,269,Medium,0,0,General,0,12.0,15.0,71.32,1,1,108,0,None
Pension Request,Social Welfare,24,189,High,0,0,OBC,3,18.0,21.0,112.17,1,1,101,0,None
Residence Certificate,Revenue,33,203,Low,0,0,ST,2,4.0,7.0,43.95,1,1,102,0,None
Income Certificate,Revenue,14,126,Critical,0,1,OBC,0,5.0,7.0,6.08,0,0,104,0,None
Business License,Commercial,37,198,Low,0,0,General,1,20.0,25.0,180.95,1,1,104,0,None
